N;Métier;Secteur(s) activité;Domaine;Niveau;Diplômes;Salaire;Descriptif;ONISEP;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Aider;Communiquer;Concevoir;Conseiller;Diriger;Manipuler;Preparer;Analyser;Saisir;Code ROME;Eco;Num
237;Chargée d'étude marketing;Assurance;Marketing;Opérationnel;Bac+4 à Bac+5 (selon spécialité);2 500€ → 4 500€/mois;Le chargé d'études mène des analyses et études sur des sujets complexes pour éclairer les décisions. Il produit des rapports et recommandations.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;;;;V;V;;;
238;Chargée d'indémnisation;Assurance;Juridique;Opérationnel;Bac+3 à Bac+5;2 200€ → 4 000€/mois;La chargée d'indemnisation traite les dossiers de sinistres et détermine le montant des indemnités dues aux assurés. Elle analyse les déclarations, vérifie les garanties contractuelles, mandate les experts si nécessaire et négocie les règlements dans le respect des conventions.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;;;;V;V;;;
239;Chargé de clientele en assurances;Assurance;Commercial;Opérationnel;Bac+3 à Bac+5;2 200€ → 4 000€/mois;Le chargé de clientèle en assurances gère un portefeuille de clients particuliers ou professionnels. Il effectue les révisions de contrats, recueille et traite les avenants, répond aux demandes de renseignements et fidélise sa clientèle en proposant des garanties adaptées à l'évolution des besoins.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;;;;V;V;C1110;;
240;Conseiller commercial assurance;"Assurance ; Commerce";Commercial;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le conseiller commercial assurance prospecte et développe un portefeuille de clients pour une compagnie d'assurance ou un agent général. Il analyse les besoins, propose des contrats adaptés (auto, habitation, prévoyance, santé), négocie les tarifs et suit les renouvellements.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;D1403;;
241;Conseiller en assurances;Assurance;Commercial;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le conseiller en assurances accompagne les clients dans le choix et la gestion de leurs contrats d'assurance. Il réalise des bilans de couverture, identifie les lacunes, propose des solutions adaptées et est l'interlocuteur privilégié en cas de sinistre.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;C1206;;
242;Controlleur sinistre;Assurance;Juridique;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le contrôleur sinistre vérifie la conformité des déclarations de sinistres avec les garanties souscrites. Il instruit les dossiers, diligente les expertises, détecte les fraudes éventuelles et valide les indemnisations dans le respect des procédures internes et réglementaires.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;C1110;;
243;Courtier;Assurance;Commercial;Entrepreneur - Profession libérale;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le courtier en assurance est un intermédiaire indépendant qui recherche les meilleures couvertures pour ses clients auprès de plusieurs compagnies. Il analyse les risques, compare les offres du marché, négocie les conditions tarifaires et assiste le client en cas de sinistre.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;;V;;V;;;;V;V;N1206;;
244;Analyste programmeur;"Informatique - numérique - digital ; Assurance";Développement et ingénierie informatique;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;L'analyste-programmeur analyse les besoins fonctionnels des utilisateurs et les traduit en programmes informatiques. Il conçoit les algorithmes, écrit le code, teste les applications et assure leur maintenance en garantissant la cohérence entre les besoins métier et les solutions techniques.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;M1852;;
245;Expert automobile;Assurance;Juridique;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;L'expert automobile évalue les dommages causés aux véhicules à la suite d'accidents, de vols ou d'intempéries. Il réalise des expertises sur le terrain ou en atelier, établit des rapports chiffrés pour les compagnies d'assurance et peut être amené à estimer la valeur des véhicules.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;I1609;;
246;Expert incendies et risques divers;Assurance;Juridique;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;L'expert en incendies et risques divers analyse les causes et les conséquences des sinistres liés au feu, aux dégâts des eaux, aux catastrophes naturelles ou aux bris de machine. Il évalue les préjudices, rédige des rapports d'expertise et participe au règlement des indemnités.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;T;J;;V;;V;;;;V;V;C1110;;
247;Gestionnaire actif et passif;"Assurance ; Banque - finance";Finance;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le gestionnaire actif-passif (ALM) analyse et optimise la structure bilancielle d'une compagnie d'assurance. Il modélise les flux financiers, gère les risques de taux et de liquidité, définit les stratégies d'investissement et s'assure de l'adéquation entre les actifs et les engagements.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;;V;;;V;V;C1105;;
248;Inspecteur vérificateur;Assurance;Juridique;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;L'inspecteur vérificateur contrôle la conformité des pratiques commerciales et des dossiers des agents et courtiers d'assurance. Il réalise des audits sur le terrain, vérifie le respect des procédures internes, détecte les anomalies et formule des recommandations d'amélioration.;ONISEP;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;K1511;;
249;juriste en assurance;"Assurance ; Droit - justice";Juridique;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le juriste en assurance analyse et traite les questions juridiques liées aux contrats d'assurance. Il rédige et interprète les clauses contractuelles, instruit les dossiers contentieux, conseille les équipes opérationnelles sur le droit des assurances et représente l'entreprise dans les litiges.;ONISEP;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;V;K1903;;
251;Rédacteur en assurances;"Assurance ; Journalisme ; Communication";Juridique;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le rédacteur en assurances rédige et met à jour les contrats, conditions générales et avenants. Il traduit les décisions tarifaires et les évolutions réglementaires en clauses contractuelles claires et conformes au droit des assurances, en lien avec les actuaires et les juristes.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;N;T;J;;V;;V;;;;V;V;C1111;;
252;Risk manager;"Assurance ; Banque - finance ; Informatique - numérique - digital";Étude et expertise;Manager;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le risk manager identifie, évalue et pilote les risques auxquels est exposée une entreprise (financiers, opérationnels, juridiques, informatiques). Il déploie des politiques de gestion des risques, coordonne les couvertures assurantielles et sensibilise les équipes à la culture du risque.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;;V;;V;;;;V;V;D1231;;
253;Souscripteur;Assurance;Étude et expertise;Opérationnel;Bac+2 à Bac+5 (assurance, droit, gestion);2 200€ → 5 000€/mois;Le souscripteur analyse les risques présentés par les prospects ou clients et décide d'accepter ou non de les assurer. Il fixe les conditions de garantie et les primes, négocie avec les courtiers et s'assure de l'équilibre technique du portefeuille qu'il gère.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;N;T;J;;V;;V;;;;V;V;C1110;;
254;Acheteur/Acheteuse;"Automobile ; Commerce ; Industrie";Achats et approvisionnement;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;L'acheteur automobile négocie les prix et les conditions d'achat des véhicules, pièces détachées et équipements auprès des fournisseurs. Il analyse les offres, sélectionne les prestataires, gère les stocks et optimise les coûts d'approvisionnement pour le réseau.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;T;J;;V;;;;;;V;V;M1101;;
255;aerodynamicien/aerodynamicienne en aeronautique;"Aéronautique et transport aérien ; Automobile ; Industrie";Ingénierie et conception technique;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;L'aérodynamicien analyse les écoulements d'air autour des structures d'aéronefs ou de véhicules pour optimiser leurs performances. Il réalise des simulations numériques (CFD), interprète les résultats de souffleries et propose des modifications de forme pour réduire la traînée et améliorer la portance.;ONISEP;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;E;N;T;P;;V;V;;;V;;V;;H1206;;
256;Facteur-factrice;"Administration ; Transport - logistique - approvisionnement";Accueil et service client;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;Le facteur distribue le courrier et les colis aux particuliers et aux entreprises sur une tournée définie. Il collecte également le courrier à poster, peut effectuer des services de proximité (portage de repas, veille aux personnes âgées) et assure le lien entre La Poste et ses clients.;ONISEP;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;;;;V;;M1302;;
257;Analyste juridique;"Droit - justice ; Commerce";Étude et expertise;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;L'analyste juridique étudie et synthétise la législation, la jurisprudence et les textes réglementaires pour éclairer les décisions d'une organisation. Il rédige des notes juridiques, veille aux évolutions du droit applicable et appuie les juristes et avocats dans leurs dossiers.;ONISEP;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;T;J;;V;;V;;;;V;V;K1601;;
258;Carrossier réparateur;Automobile;Installation et/ou maintenance;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;Le carrossier-réparateur remet en état les carrosseries endommagées après un accident. Il redresse les tôles, remplace les éléments abîmés, réalise les soudures et prépare les surfaces pour la mise en peinture, en restituant l'aspect d'origine du véhicule.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;V;V;;;V;;V;;I1606;;
259;Carrossier-carrossiere;Automobile;Installation et/ou maintenance;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;Le carrossier conçoit et fabrique des carrosseries de véhicules spéciaux (ambulances, camping-cars, véhicules utilitaires). Il travaille la tôle, l'aluminium ou les matériaux composites, assemble les structures et réalise les aménagements intérieurs sur mesure.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;V;V;;;V;;V;;I1606;;
260;Carrossier peintre;Automobile;Installation et/ou maintenance;Opérationnel;CAP Carrosserie à Bac Pro Carrosserie;1 700€ → 2 800€/mois;Le carrossier-peintre répare les carrosseries endommagées des véhicules, réalise les travaux de tôlerie et applique les peintures.;ONISEP;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;I;N;T;J;;V;V;;;V;;V;;I1606;;
261;chef/cheffe des ventes;Automobile;Commercial;Manager;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;Le chef des ventes automobile manage une équipe de vendeurs dans une concession. Il fixe les objectifs commerciaux, anime et motive son équipe, suit les performances individuelles et développe les stratégies pour atteindre les quotas de vente.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;;V;;V;V;;;V;;L1521;;
262;conseiller client apres vente automobile;Automobile;Accueil et service client;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;Le conseiller client après-vente automobile accueille les clients en atelier, réceptionne les véhicules, établit les ordres de réparation et fait le lien entre le client et les mécaniciens. Il explique les interventions, présente les devis et restitue le véhicule après réparation.;ONISEP;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Nécessaire;E;N;F;J;;V;;V;;;;V;V;I1604;;
263;Conseiller vente en pièces de rechange et accéssoires;Automobile;Commercial;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;Le conseiller vente en pièces de rechange et accessoires renseigne les professionnels et les particuliers sur les pièces détachées adaptées à leurs véhicules. Il gère les commandes, contrôle les stocks et peut établir des devis pour les garages et carrosseries.;ONISEP;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;;V;;V;;;;V;V;;;
264;Controleur technique;Automobile;Sécurité;Opérationnel;Bac Pro ou BTS + agrément CTM;1 800€ → 2 800€/mois;Le contrôleur technique automobile vérifie la conformité des véhicules aux normes de sécurité et d'antipollution lors des contrôles techniques.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;I;S;F;J;V;V;;;;V;;V;;E1108;;
265;controleur/leuse technique automobile;Automobile;Qualité - conformité;Opérationnel;CAP à Bac+5 (mécanique, ingénierie automobile);1 700€ → 5 500€/mois;Le contrôleur technique automobile effectue les contrôles réglementaires des véhicules légers et utilitaires. Il inspecte les éléments de sécurité (freins, direction, éclairage, pollution), identifie les défaillances, établit le procès-verbal de contrôle et conseille les propriétaires.;ONISEP;Peu nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;I;S;F;J;;V;;;;;;V;V;H1506;;
