Métier;Secteur d'activité;Domaine d'activité;Fiche Métier;Niveau hiérarchique;Diplômes requis;Salaire (moyenne);Type MBTI;Communication;Esprit critique;Éthique;Intel. émotionnelle;Intel. sociale;Mgmt de projet;Mgmt d'équipe;Organisation;E/I;S/N;T/F;J/P;Descriptif;Diplomes requis;Salaire;Cap_Aider;Cap_Communiquer;Cap_Concevoir;Cap_Conseiller;Cap_Diriger;Cap_Manipuler;Cap_Preparer;Cap_Analyser;Cap_Saisir;code_rome;transition_eco;transition_num
Conservateur du patrimoine;Commerce;Marketing;→ Fiche métier;Entrepreneur - Profession libérale;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le conservateur du patrimoine gère et valorise des collections (musées, archives, monuments). Il assure leur conservation, leur étude et leur accès au public.;Bac+5 + concours INSP;2 500€ → 4 500€/mois;;Oui;;Oui;;;;Oui;Oui;K1602;;
Consultant en ingenierie touristique;"Commerce ; Informatique - numérique - digital ; Industrie ; Banque - finance ; Administration";Commercial;→ Fiche métier;Directeur;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le consultant en commercial analyse les problèmes de ses clients et leur apporte des solutions dans son domaine d'expertise.;Bac+5 (école de commerce ou d'ingénieurs);3 000€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
décorateur-scénographe;"Cinéma - audiovisuel ; Art ; Spectacle - diverstissement ; Événementiel";Achat - approvisionnement;→ Fiche métier;Directeur;;;ENFJ;Absolument nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;Le décorateur-scénographe conçoit et crée les décors de films, pièces de théâtre ou expositions. Il traduit visuellement les intentions artistiques du metteur en scène.;Bac+3 à Bac+5 (école des Beaux-Arts, ENSAD);1 800€ → 4 000€/mois;;;;;;Oui;Oui;Oui;Oui;;;
Directeur de festival;"Commerce ; Informatique - numérique - digital ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction ; Transport - logistique - approvisionnement";Commercial;→ Fiche métier;Directeur;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;Le directeur du domaine commercial dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;L1302;;
Directeur de l'action culturelle;"Commerce ; Informatique - numérique - digital ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction ; Transport - logistique - approvisionnement";Marketing;→ Fiche métier;Directeur;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;T;J;Le directeur du domaine marketing dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;;;
Directeur de musée et conservateur du patrimoine;"Commerce ; Informatique - numérique - digital ; Industrie ; Banque - finance ; Assurance ; Administration ; Aéronautique et transport aérien ; Énergie ; Bâtiment - construction ; Transport - logistique - approvisionnement";Commercial;→ Fiche métier;Directeur;;;ENTP;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Peu nécessaire;E;N;T;P;Le directeur du domaine commercial dirige une entité ou un département, fixe les orientations stratégiques et pilote les équipes.;Bac+5 (école de commerce ou d'ingénieurs);4 500€ → 10 000€/mois;;Oui;;Oui;Oui;;;Oui;;;;
galeriste;"Art ; Culture ; Commerce";Commercial;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le galeriste dirige une galerie d'art, sélectionne les artistes, organise les expositions et commercialise les œuvres.;Bac+3 à Bac+5 (histoire de l'art, commerce);2 000€ → 7 000€/mois (variable);;Oui;;Oui;;;;Oui;Oui;D1233;;
Guide conférencier;Commerce;Commercial;→ Fiche métier;Opérationnel;BAC PRO vente - BTS MCO -BTS NDRC -BUT TC;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le guide conférencier anime des visites touristiques et culturelles de sites, musées ou monuments en transmettant son savoir de façon vivante.;Licence + carte professionnelle guide-conférencier;1 800€ → 3 500€/mois;;Oui;;Oui;;;;Oui;Oui;G1222;;
libraire;"Commerce ; Édition et métier du livre - littérature";Commercial;→ Fiche métier;Opérationnel;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le libraire sélectionne et vend des livres dans une librairie. Il conseille les clients, organise des événements (dédicaces, rencontres) et gère le stock et les commandes.;BTS Librairie ou Licence pro métiers du livre;1 700€ → 2 800€/mois;;Oui;;Oui;;;;Oui;Oui;D1211;;
Muséographe;"Culture ; Art";Conception artistique;→ Fiche métier;Opérationnel;;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le muséographe conçoit la scénographie des espaces d'exposition dans les musées. Il coordonne la présentation des collections en tenant compte des contraintes de conservation.;Bac+5 (muséologie, histoire de l'art);2 500€ → 4 000€/mois;;Oui;;Oui;;;;Oui;Oui;L1513;;
Régisseur d'oeuvres d'art;Commerce;Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;Le régisseur d'œuvres d'art organise les prêts, transports et installations d'œuvres dans les musées et galeries.;Bac+3 à Bac+5 (histoire de l'art, conservation);2 000€ → 3 500€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Responsable de projet culturel;"Culture ; Administration";Gestion de projet;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le responsable de projet culturel pilote des initiatives artistiques ou patrimoniales. Il coordonne les équipes, gère les budgets et assure les relations avec les partenaires.;Bac+4 à Bac+5 (administration culturelle);2 500€ → 4 500€/mois;;Oui;;;Oui;;;Oui;;H1206;;
Secrétaire de documentation;"Administration ; Édition et métier du livre - littérature";Administratif;→ Fiche métier;Opérationnel;BTS MCO -BTS NDRC -BUT TC - LP Commerce;;ENFJ;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le secrétaire de documentation gère et classe des fonds documentaires. Il répond aux demandes d'information des usagers et maintient les bases de données documentaires.;Bac+2 à Bac+3 (documentation, bibliothéconomie);1 800€ → 2 600€/mois;;Oui;;Oui;;;;Oui;Oui;M1604;;
Spécialiste de la conservation préventive;"Culture ; Art";Étude et expertise;→ Fiche métier;Opérationnel;BTS technico-commercial;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Nécessaire;E;N;F;J;Le spécialiste en conservation préventive protège les collections des musées en contrôlant les conditions de stockage et en préconisant des mesures de protection adaptées.;Bac+5 (conservation préventive, chimie);2 500€ → 4 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1606;;
Technicien du patrimoine;Commerce;Marketing;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;E;N;F;J;Le technicien spécialisé en marketing assure des opérations techniques de terrain, de maintenance ou de contrôle dans son secteur d'activité.;Bac Pro à Bac+2;1 900€ → 3 200€/mois;;;;;;Oui;;Oui;Oui;F1121;;
administrateur civil;"Fonction publique ; Administration";Administratif;→ Fiche métier;Opérationnel;BTS NDRC - BTSMCO - BUT TC - BTS CCST;;ESFJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'administrateur civil conçoit et met en œuvre les politiques publiques au sein des ministères et administrations centrales. Il encadre des équipes et pilote des réformes.;ENA/INSP ou Sciences Po (Bac+5 + concours);4 000€ → 8 000€/mois;;Oui;;Oui;;;;Oui;Oui;M1808;;
administrateur du Sénat;"Fonction publique ; Administration";Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'administrateur du Sénat assiste les sénateurs dans l'élaboration des lois, organise les travaux parlementaires et gère les services administratifs de la chambre haute.;Concours administrateur du Sénat (Bac+5);4 500€ → 9 000€/mois;;Oui;;Oui;;;;Oui;Oui;M1808;;
Administrateur judiciaire;Commerce;Communication;→ Fiche métier;Directeur;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;E;S;F;J;L'administrateur judiciaire intervient en cas de difficultés d'entreprise pour gérer ou redresser l'activité dans le cadre d'une procédure judiciaire.;Bac+5 (droit, gestion) + formation professionnelle;4 000€ → 10 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1903;;
Analyste huridique;"Droit - justice ; Commerce";Juridique;→ Fiche métier;Opérationnel;BTS NDRC - BTSMCO - BUT TC - BTS CCST;;ESFJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'analyste juridique examine et interprète des documents légaux, contrats ou réglementations pour dégager des risques et recommander des actions à ses clients.;Bac+4 à Bac+5 (droit, fiscalité);3 000€ → 5 000€/mois;;Oui;;Oui;;;;Oui;Oui;N1301;;
Assistant juridique;"Droit - justice ; Commerce ; Administration";Juridique;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'assistant juridique appuie les juristes et avocats dans leurs missions : recherche documentaire, préparation des dossiers, rédaction d'actes simples et suivi des procédures.;Bac+2 à Bac+3 (droit, juridique);1 900€ → 2 800€/mois;;Oui;;Oui;;;;Oui;Oui;H1206;;
Avocat au conseil de la cour de cassation;Commerce;Commercial;→ Fiche métier;Opérationnel;BTS NDRC - BTSMCO - BUT TC - BTS CCST;;ESFJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'avocat aux Conseils plaide exclusivement devant la Cour de cassation et le Conseil d'État. Il rédige des pourvois hautement techniques en droit.;Bac+5 + examen avocat aux Conseils (très sélectif);5 000€ → 15 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1903;;
Avocat d'affaires;Commerce;Commercial;→ Fiche métier;Opérationnel;BTS NDRC - BTSMCO - BUT TC - BTS CCST;;ESFJ;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;L'avocat d'affaires conseille les entreprises dans leurs opérations juridiques : fusions-acquisitions, contrats commerciaux, propriété intellectuelle et litiges.;Bac+5 (Master droit) + CAPA + cabinet spécialisé;3 000€ → 10 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Avocat du droit des personnes;Commerce;Marketing;→ Fiche métier;Opérationnel;;;ESFJ;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Cet avocat défend des particuliers dans des affaires familiales, successorales ou liées aux droits de la personne. Il plaide et conseille dans des dossiers souvent sensibles.;Bac+5 (Master droit) + CAPA;2 500€ → 6 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1903;;
Avocat Pénaliste;Droit - justice;Juridique;→ Fiche métier;Opérationnel;BTS NDRC - BTSMCO - BUT TC - BTS CCST;;ENFP;Absolument nécessaire;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;E;N;F;P;L'avocat pénaliste défend ses clients dans les procédures pénales. Il assiste ses clients en garde à vue, plaide devant le tribunal correctionnel et la cour d'assises.;Bac+5 (Master droit pénal) + CAPA;2 500€ → 8 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1904;;
Clerc d'huissier;Droit - justice;Juridique;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le clerc d'huissier prépare les actes et significations sous la responsabilité d'un commissaire de justice. Il assure les procédures de recouvrement et de saisie.;BTS Notariat ou formation huissier;1 800€ → 2 800€/mois;;Oui;;Oui;;;;Oui;Oui;K1902;;
Clerc de notaire;Droit - justice;Juridique;→ Fiche métier;Opérationnel;;;ESTJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Peu nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Absolument nécessaire;E;S;T;J;Le clerc de notaire rédige des actes notariés sous la supervision du notaire : ventes immobilières, successions, mariages. Il assure le suivi des dossiers juridiques.;BTS Notariat;1 800€ → 2 800€/mois;;Oui;;Oui;;;;Oui;Oui;K1902;;
Commissaire de justice;Droit - justice;Juridique;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le commissaire de justice (anciennement huissier/commissaire-priseur) signifie des actes judiciaires, exécute des décisions de justice et organise des ventes aux enchères.;Bac+5 + formation commissaire de justice;3 000€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;K1709;;
Conseiller en propriété industrielle;Commerce international;Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le CPI protège les créations intellectuelles des entreprises (brevets, marques, designs). Il rédige les demandes de protection et conseille sur la stratégie de propriété industrielle.;Bac+5 (ingénieur ou juriste) + diplôme CPI;3 500€ → 8 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Controleur auditeur de machines à sous;"Banque - finance ; Comptabilité - gestion - contrôle de gestion ; Commerce ; Industrie ; Administration ; Assurance";Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Ce professionnel de la banque ou de la finance gère des opérations financières, conseille des clients ou analyse des risques.;Bac+3 à Bac+5 (banque, finance, école de commerce);2 500€ → 7 000€/mois;;Oui;;Oui;;;;Oui;Oui;;;
Détective privé;Commerce international;Administratif;→ Fiche métier;Opérationnel;;;ESFJ;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Nécessaire;Peu nécessaire;Peu nécessaire;Absolument nécessaire;E;S;F;J;Le détective privé mène des enquêtes à la demande de particuliers ou d'entreprises : filature, surveillance, recherche de personnes, collecte de preuves.;Licence professionnelle + agrément préfectoral;2 000€ → 4 000€/mois;Oui;Oui;;;;;;Oui;Oui;K2505;;
Éducateur de la protection judiciaire et de la jeunesse;Commerce international;Commercial;→ Fiche métier;Manager - Responsable - Chef d'équipe;;;ENFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Cet éducateur accompagne les mineurs sous mandat judiciaire dans leur réinsertion sociale, en lien avec leur famille, l'école et les partenaires du territoire.;Bac+3 (DEES) + concours PJJ;1 900€ → 2 900€/mois;;Oui;Oui;Oui;;;;Oui;;;;
Greffier;Commerce international;Conseil - consulting;→ Fiche métier;Opérationnel;Master pro Droit, économie, gestion mention management spécialité conseil en organisation et audit social;;ENFJ;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Absolument nécessaire;Nécessaire;Nécessaire;Nécessaire;E;N;F;J;Le greffier assiste le juge, rédige les actes de procédure, tient les registres du tribunal et garantit l'authenticité des actes judiciaires.;Concours École nationale des greffes (Bac+2 min);1 900€ → 3 200€/mois;Oui;Oui;;;;;;Oui;Oui;K1909;;
